"","2001-07-01","2012-12-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-11-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01"
"Share (in %) on corpus","0.5587","62.3596","36.476","5.5006","0","13.9785","0.8955","49.5169","0","0","19.026","12.8274","7.0246","19.9661","15.4438","6.9194","3.4403","6.9811","11.3336","10.7783","2.7401","26.712","12.1595","17.5339","22.5072","10.9743","22.3713","8.1919","8.4188","10.9388","21.9704","19.1225","13.6421","13.1465","24.868","5.2474","6.0206","10.3916","6.7017","10.367","8.5596","8.8681","6.3572","10.5387","8.9459","5.6284","7.1276","6.6944","11.7418","7.6026","6.5785","8.133","7.7919","6.6603","5.5179","5.9329","8.548","7.4688","7.2994","4.2678","7.9495","11.1676","12.3154","8.2817","7.9646","9.9281","8.2819","9.7787","6.6866","10.1465","0"
"1","ehemaligen","friday","gates","bereits",NA,"abschluesse","damals","merkel",NA,NA,"matussek","steinbach","praesident","schulz","papst","friends","bundeskanzlerin","gesagt","berg","november","taylor","zitat","ehen","zitat","merkel","juncker","zitat","zitat","merkel","zitat","zitat","zitat","zitat","zitat","zitat","gates","zitat","gates","trump","merkel","zitat","zitat","rothschild","trump","zitat","trump","merkel","zitat","zitat","zitat","fauci","schwab","zitat","zitat","scharia","zitat","wef","zitat","zitat","trump","schwab","zitat","schwab","zitat","zitat","zitat","gates","aussage","wef","wef",NA
"2","°c","begriff","bill","institute",NA,"beantwortete","fischer","angela",NA,NA,"soros","artikel","interview","sentencing","franziskus","today","merkel","aussagen","mutter","pressekonferenz","zitat","gesagt","maas","sabaditschwolff","timmermans","interview","interview","ib","zitat","satz","merkel","fischer","merkel","archiviert","afd","archiviert","gates","bill","donald","zitat","gesagt","gesagt","patent","biden","merkel","gesagt","zitat","maas","attali","aussage","zitat","zitat","aussage","esken","zitat","watson","scholz","gates","great","zitat","liste","scholz","zitat","aussage","hitler","habeck","zitat","gesagt","apec","biden",NA
"3","µm","every","to","wurde",NA,"fragte","urheber","leben",NA,NA,"roth","merkel","beitrag","vereinigten","frage","for","paul","offiziellen","stefanie","juncker","merkel","satz","kinderehen","youtube","vielfalt","zitat","gesagt","aussage","angela","gesagt","rede","gesagt","cohnbendit","franklin","aussage","jahr","the","the","fbi","ecohealth","zitate","aussage","trump","zitat","trump","donald","biden","gates","aussage","lambrecht","emails","klaus","schmidt","gesagt","wort","ian","nuernberger","anne","barrington","geaeussert","marx","reuters","eugen","biden","braun","kubrick","bill","zitat","biden","joe",NA
"4","aachen","is","originalzitat","anstehende",NA,"frueheren","°c","anne",NA,NA,"liste","may","asylrecht","kapoor","sei","merkel","kanzlerin","europa","jones","jelpke","interview","deutschen","gauland","text","rede","afd","habeck","verfassungsschutz","naulin","fazit","gesagt","rede","archiviert","gesagt","hennigwellsow","bill","merkel","merkel","usa","alliance","trump","of","zitat","joe","soros","interview","newell","trump","wagenknecht","gesagt","senatorinnen","goeringeckardt","gesagt","merkel","disruptive","new","schwab","bill","lanz","obama","scholz","rothschild","wef","gauck","wef","gesagt","leyen","aussagen","zitat","aehm",NA
"5","aan","mothers","pravda","beauftragte",NA,"gerechtigkeit","µm","lange",NA,NA,"leute","begriff","newsforfriendsde","aussagen","interview","deutsch","frage","eigenen","interview","zitat","afrikaner","frankreich","buch","pell","angela","aussage","aussage","gesagt","aussage","falsch","archiviert","quelle","gedicht","merkel","merkel","of","voltaire","zitat","george","christine","ipsos","maas","merkel","donald","interview","biden","lewis","heiko","angebliche","zitats","zitate","rothschild","divoc","satz","gesagt","biden","gedicht","stiftung","declaration","donald","klaus","thomson","habeck","satz","gesagt","aussage","ursula","scholllatour","habeck","zitat",NA
"6","aap","snopes","tv","bundestagsabgeordneten",NA,"korrektur","aachen","land",NA,NA,"agenten","geheimes","zukunft","artikel","wurzeln","news","angela","zitat","rede","soros","deutschlands","joschka","kanzlerin","philosophia","staaten","gesagt","goeringeckardt","interview","archiviert","interview","leonardo","merkel","satz","findet","gesagt","merkel","ostern","paedophilie","snopes","maxwell","mori","rede","donald","trumps","usa","zitat","angela","dollar","merkel","voltaire","gesagt","thatcher","maas","interview","volk","york","rede","gesagt","istgh","merkel","great","rede","weltwirtschaftsforum","rybakina","interview","kennedy","frederick","rede","ceo","paus",NA
"7","aargauer","usa","foundation","deutsch",NA,"leid","aan","mal",NA,NA,"dokument","society","titel","merkel","gesagt","angela","beziehung","stammen","wurde","welt","of","zeitung","oezoguz","meinungsfreiheit","mitteleuropa","gruenenpolitikerin","ja","restle","interview","michael","vinci","lanka","begriff","the","hoecke","the","strom","honjo","weisse","obama","aussage","goering","maas","amtszeit","donald","aussage","aussage","roth","gesagt","geaeussert","fragebogen","oezoğuz","wort","orwell","diskussion","bourla","zitat","nuernberger","wahrheit","gesagt","soros","familie","bourla","gesagt","reinhart","trump","roth","mcmanus","washington","usa",NA
"8","ab","archiviert","that","einstimmig",NA,"nahelegt","aap","antwort",NA,NA,"foundation","welt","magazine","name","merkel","declaration","paedophilie","heute","claudia","emma","gesagt","friess","heiko","islam","is","satz","spruch","satz","europa","namen","findet","aussage","aristoteles","gates","interview","contagion","aussage","trump","mutter","trump","spiegel","obama","patentanmeldung","usa","schmidt","joe","trump","hagen","euthanasie","oezoğuz","pressekonferenz","fragebogen","reuters","aussage","fauci","jackson","kirche","aussage","schwab","bismarck","reset","gesagt","davos","habeck","habeck","leyen","taylor","saetze","aussage","repraesentantenhauses",NA
"9","abalo","australia","we","einziges",NA,"phaenomen","aargauer","kanzlerin",NA,NA,"george","zitate","geaeussert","angela","migranten","verschwoerungstheorie","unbestechlichen","land","gesagt","friday","spd","interview","englisch","trittin","monokulturelle","spricht","voltaire","roth","journal","aussage","trump","interview","gesagt","worte","sagte","nostradamus","of","orwell","new","interview","aussagen","blog","interview","kennedy","aussage","phoenix","interview","wuhan","habeck","of","anthony","buch","sprache","george","begriff","the","tucholsky","suche","gesagt","bundeskanzlerin","grossvater","ap","klaus","geaeussert","epstein","robert","rede","schwab","buch","weltwirtschaftsforum",NA
