"","2001-07-01","2012-12-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-11-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01"
"Share (in %) on corpus","13.4078","1.1236","0","3.4103","10.8527","0","9.8507","1.2077","0","0","1.2381","1.5232","6.1236","3.5378","17.2389","3.5484","0.5889","0.537","0.0228","4.1396","0.8067","0.5607","0.8118","2.2384","3.5475","1.8897","3.916","2.8907","6.6964","2.8271","3.0836","1.2963","6.6429","2.1436","2.0946","6.3983","3.0468","1.6926","1.0065","1.7997","3.3784","4.2618","0.638","1.863","2.2326","1.4929","0.8466","1.9724","1.9873","6.0745","2.7375","3.2615","6.9548","1.6757","0.822","1.5632","1.1162","1.3315","12.9461","30.6911","36.8162","17.2178","11.7017","14.8712","9.2836","14.1035","26.5064","16.9078","14.9151","13.6813","0"
"1","entsorgt","afrika",NA,"boot","nachrichtenportal",NA,"medien","bezeichnet",NA,NA,"china","russland","syrien","iran","kleidung","uebung","soldaten","nachrichtenagentur","umgehend","griechenland","explosion","libyschen","kabul","offizielle","maerz","diavata","latakia","seawatch","russland","waffen","uebung","nationen","foto","chinesischen","israel","grenze","china","putin","iran","palaestina","belarus","moria","belarus","arabischen","soldaten","polen","putin","stadt","esel","fotos","soleimani","autos","taliban","taliban","reifen","taliban","putin","video","ukraine","ukraine","ukraine","ukraine","ukraine","ukraine","ukraine","ukraine","ukraine","ukraine","ukraine","ukraine",NA
"2","gelaende","september",NA,"flugzeug","denen",NA,"russischen","emirate",NA,NA,"eu","atomwaffen","russische","soldaten","kreuz","fahrzeuge","angriff","mazedonien","°c","lkw","flucht","schlauchboot","russisch","aussenminister","simpsons","kreuz","titanic","hafen","putin","chiquitania","chronicles","ungarn","uiguren","zeigen","rebellengruppen","griechenland","defendereurope","putins","japan","gebiete","explosion","putin","simpsons","konflikte","usarmee","guatemala","russischen","video","soldaten","autos","iranischen","esel","afghanistan","afghanistan","kuwait","afghanistan","soldaten","putin","russland","russischen","russischen","russischen","russischen","russland","russischen","russischen","ukrainischen","russischen","ukrainische","selenskyj",NA
"3","gut","°c",NA,"italienischen","the",NA,"anzweifeln","hand",NA,NA,"tuerkei","bereit","russland","saudiarabien","valencia","ankunft","gegenseitig","video","µm","pipeline","fanden","bietet","fotoaufnahmen","position","soldaten","april","syrien","bord","malizia","kuestenwache","pawn","bildunterschrift","chinesischen","videos","waffen","maerz","bundeswehr","russischen","leichen","tuerkische","lukaschenko","grenze","praesident","raketen","fotos","fotos","brand","fahrzeuge","russischen","gazastreifen","gedenkfeier","hangzhou","kabul","afghanischen","brand","machtuebernahme","praesident","ukraine","russischen","video","butscha","ukrainische","russland","russischen","russland","russland","russischen","russland","ukrainischen","russischen",NA
"4","video","µm",NA,"artikel","behaupten",NA,"erlebt","kehrten",NA,NA,"beziehungsweise","krieg","april","frauen","roten","nationen","generalsekretaer","bedeutet","aachen","schiff","rund","boot","afghanischen","ungarischen","wurde","feuer","aufnaeher","libyen","feuer","flughafen","usmarines","vereinten","china","polnische","staat","tuerkei","grafenwoehr","fotos","bilder","google","rakete","russland","bulgarien","krieg","putin","honduras","putinzitat","nawalnaja","russland","batterien","japan","kandi","flugzeug","ausruestung","video","aan","praesidenten","tkatschow","russische","ukrainischen","russische","ukrainischen","ukrainischen","ukrainischen","russische","ukrainischen","russland","ukrainische","russischen","ukrainischen",NA
"5","daher","aachen",NA,"amerikanische","ende",NA,"fluechtlingskrise","vereinigten",NA,NA,"blau","russische","russischen","bremen","rote","buergerkrieg","haenden","beruehmt","aan","schiffe","sehen","einstellung","afghanistans","desinformation","neonazis","griechische","kongo","schiff","flammen","russischen","angriff","palaestinensischen","ungarn","roten","israelische","tuerkischgriechischen","palaestinensischen","bombenanschlag","roma","geflossen","beirut","maerz","verlassen","israel","operation","gelagert","russische","russische","sotschi","angriff","japanische","fahrzeuge","afghanische","frauen","xinhua","land","armee","russischen","putin","ukrainische","leichen","selenskyj","russische","einkaufszentrum","ukrainischen","ukrainische","russische","russische","russland","ukrainische",NA
"6","elektro","aan",NA,"berichtete","veroeffentlichte",NA,"hinterfragen","°c",NA,NA,"chinesische","salisbury","waffen","worden","aquarius","sei","hilfe","bremer","aap","autos","land","faehrt","aufnahmen","aussenministerium","operation","grenze","video","kapitaenin","clixoom","foto","fotos","reise","folter","berichten","lagern","flughafen","truppen","wladimir","tuerkei","gebaeude","hafen","feuer","aeusserungen","praesidenten","usa","polnischen","banque","russland","schiffe","israelische","kuestenwache","leverkusen","maschine","explosion","april","moskau","moskau","leichen","ukrainischen","russland","ukrainischen","russland","ukrainische","krieg","stream","video","kiew","selenskyj","kiew","ungarn",NA
"7","entstanden","aap",NA,"besitzer","viele",NA,"immer","µm",NA,NA,"chinesischen","dahinter","geschickt","iranische","bilder","darin","hinweis","oktober","aargauer","russisch","laendern","inszeniert","bemerkungen","polen","praesident","migranten","olympic","geretteten","explosion","schiff","google","yandex","syrien","feuer","passagiere","ankunft","panzer","liefert","windschutzscheibe","laendern","ausgeloest","fluechtlingslager","aufgenommen","beziehungen","nizza","flugzeug","plaene","soldaten","flughafen","israel","general","microcity","bundeswehr","gasflaschen","blockade","afghanistans","russische","suleiman","donezk","krieg","russland","video","sanktionen","russische","turbine","grenze","ukrainische","ukrainischen","video","video",NA
"8","mai","aargauer",NA,"erfolgte","wurden",NA,"laecherlich","aachen",NA,NA,"einwanderern","deuten","zwei","israel","cheste","anlaesslich","klare","technische","ab","webseiten","medien","mittelmeer","berief","un","flammen","unhcr","ort","italienischen","meer","russland","russische","internationale","huthis","regierung","amnesty","tuerkische","soldaten","amerikanische","today","tuerkischen","video","foto","bord","invasion","putins","polnische","praesident","praesidenten","foto","flugzeugs","video","bundeswehr","foto","magazin","feuer","wagen","bundeswehr","verteidigungsminister","luhansk","russische","video","butscha","krieg","ukrainische","nord","russische","selenskyj","katar","katar","krieg",NA
"9","rund","ab",NA,"journalisten","zeige",NA,"maerchen","aan",NA,NA,"finnland","flohen","angriffen","israelischen","migranten","auslieferung","laeuft","veraendert","abalo","land","aufnahmen","mysterioesen","bildbeschreibung","ungarische","feuers","zeit","the","seenot","putins","libyen","russischen","medien","jemen","zeigt","israelischen","grenzuebergang","verlegung","bilder","verletzt","sehen","dollar","flughafen","karikaturen","nato","europa","vereinigten","stadt","afghanistan","fremdenlegion","jakarta","energieministerium","chinesischen","flughafen","bild","flugzeugs","kabul","usa","wasserstoffdiplomatie","angriff","putin","ukrainische","russische","video","gedenkstaette","ukrainische","trojan","video","video","foto","wolodymyr",NA
