"","2001-07-01","2012-12-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-11-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01"
"Share (in %) on corpus","0","3.9326","17.7743","23.1023","29.4574","0","11.3433","4.1063","0","0","7.0574","6.868","6.6569","5.6266","14.1616","4.6452","12.5678","0.7471","7.3509","5.0553","7.0551","6.3721","3.8968","4.3982","4.9377","9.0326","13.0302","12.5575","8.0827","6.2531","4.9491","9.9716","8.5988","7.0245","7.0897","4.4674","11.3078","12.9401","11.803","8.0968","7.1953","7.8403","8.2762","8.6652","9.9624","9.6103","8.6643","11.4711","8.97","9.074","6.6668","10.4929","4.7805","8.5966","11.219","6.9527","8.0272","6.588","6.6505","4.8093","4.9605","7.1952","13.7978","9.345","8.8643","6.9573","6.095","4.5446","7.36","5.2841","3.653"
"1",NA,"genommene","zahl","prozent","local",NA,"wurden","dramatische",NA,NA,"jahr","millionen","daten","anzahl","prozent","prozent","prozent","zahl","prozent","zahl","prozent","deutschland","prozent","millionen","prozent","deutschland","prozent","prozent","pro","prozent","pro","schweden","prozent","prozent","prozent","prozent","todesfaelle","zahlen","prozent","prozent","zahlen","prozent","prozent","prozent","prozent","zahl","krankenhaeuser","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","prozent","zahl","cent","prozent","prozent","prozent","prozent","prozent","gas","prozent","zahlen","prozent","prozent","demnach"
"2",NA,"kamen","population","italien","schweden",NA,"prozent","ausmacht",NA,NA,"prozent","jahr","statistik","daten","zahlen","anteil","subsaharaafrika","ausser","gallup","kraftstoff","millionen","asylantraege","pro","usdollar","zahl","daten","zahl","deutschland","prozent","zahlen","deutschland","zahlen","zahlen","zahlen","frauen","zahlen","prozent","prozent","zahlen","zahl","prozent","zahlen","zahlen","zahl","intensivbetten","zahlen","zahlen","krankenhaeuser","zahl","zahl","zahlen","zahlen","zahlen","zahlen","liter","zahlen","divi","zahlen","prozent","preis","millionen","millionen","pro","gas","pro","euro","gas","prozent","zahlen","zahlen","beigemischt"
"3",NA,"laendern","nrw","zahlen","deutschland",NA,"zahl","betrachtet",NA,NA,"pro","einwanderung","milliarden","prozent","zahl","letzten","zahlen","einschaetzung","zahlen","tankstellen","zahlen","zahlen","kinderarmut","zahlen","millionen","zahlen","zahlen","millionen","deutschland","deutschland","millionen","jahr","deutschland","deutschland","zahlen","zahl","zahl","zahl","daten","zahlen","zahl","zahl","zahl","zahlen","zahl","kalenderwoche","zahl","zahl","daten","pro","zahl","zahl","zahl","daten","pro","zahl","daten","zahl","zahlen","diesel","pro","zahlen","zahl","zahlen","deutschland","liter","deutschland","pro","daten","zahl","ernaehrungs"
"4",NA,"plaetzen","prozent","jahr","prozent",NA,"abschiebung","dramatischen",NA,NA,"zahlen","pro","laender","zahlen","mai","zahlen","schweden","enthaltenen","schweden","rohoel","jahr","jahr","deutschland","jahr","menschen","dollar","pro","zahlen","jahr","zahl","laendern","pro","klimarisikoindex","zahl","autobahnen","italien","zahlen","millionen","todesfaelle","todesfaelle","deutschland","jahr","todesfaelle","intensivbetten","daten","prozent","prozent","zahlen","zahlen","anteil","wahlbeteiligung","anteil","rund","deutschland","lithium","intensivstationen","krankenhaeuser","millionen","pro","preise","rund","elektroautos","euro","pro","daten","preis","italien","uebersterblichkeit","zahl","deutschland","hohe"
"5",NA,"weitere","menschen","gekommen","abschliessen",NA,"anteil","gut",NA,NA,"mehr","berechnung","deutschland","rund","grundtabelle","schweden","zahl","erhoben","millionen","plaetzen","weltweit","zusammen","schaetzungen","prozent","salvini","medianvermoegen","jahr","zahl","zahlen","oesterreich","liegt","prozent","jahr","kraftstoff","euro","deutschland","uebersterblichkeit","daten","pro","daten","operationen","deutschland","wert","kliniken","betten","jahr","daten","geschlossen","grafik","kwh","rund","fuenf","pro","jahr","zahlen","millionen","intensivbetten","anteil","daten","prozent","lngtanker","gas","deutschland","millionen","liter","prozent","pro","daten","jahr","pro","juengsten"
"6",NA,"zahlen","kriminalstatistik","freie","allerdings",NA,"asylantraegen","hauptsaechlich",NA,NA,"bericht","bevoelkerungsstand","jahr","zahl","jahr","italien","hivinfizierten","import","laut","raffinerien","zahl","diesel","armut","deutschland","armut","pro","insgesamt","jahr","costeuer","oecd","zahlen","euro","platz","pro","deutschland","jahr","euromomo","quartal","bundesamt","schweden","seite","anstieg","grafik","grafik","zahlen","daten","grafik","daten","intensivbetten","jahr","daten","sozialkassen","anteil","zahl","rund","daten","anteil","uebersterblichkeit","batterie","liter","jahr","pro","zahlen","anteil","gas","pro","zahl","zahl","anteil","millionen","markt"
"7",NA,"tag","aufklaerungsquote","zeiten","alters",NA,"bedeutend","mehr",NA,NA,"landesamts","deutschland","zahlen","auswertung","seit","asylsuchenden","jahr","importiert","ray","per","menschen","forsa","lag","aufgestellten","fuenf","zahl","millionen","euro","milliarden","pro","insgesamt","laender","vergleich","carediesel","weniger","weniger","italien","pro","deutschland","deutschland","jahr","rund","schweden","daten","grafik","statistik","pro","krankenhaus","pro","zahlen","nachmeldungen","vergleich","liegt","betten","batterie","rund","zahl","deutschland","rund","deutschland","schweroel","zahl","autobahnen","preise","bundesnetzagentur","cent","insgesamt","todesfaelle","arbeiter","economist","prozent"
"8",NA,"°c","bevoelkerung","laut","angebe",NA,"bericht","ab",NA,NA,"stimmt","rund","lag","ergibt","bruecker","binnenvertriebenen","deutschland","lagebericht","subsaharaafrika","zahlen","oesterreich","grafik","mindestens","deutlich","gekuerzten","jahr","elektroautos","platz","rund","vergleich","zahl","rund","zahl","jahr","unfaelle","statistik","kalenderwoche","todesfaelle","statistische","insgesamt","anteil","anteil","pro","deutschland","ilo","statistischen","jahr","jahr","intensivstationen","daten","pro","rund","millionen","statistische","cent","deutschland","intensivstationen","rund","adac","benzin","treibstoff","insgesamt","tempolimit","zahl","zahlen","zahlen","november","deutschland","todesfaelle","laender","teurer"
"9",NA,"µm","bildschirmaufnahme","subsidiaeren","angezweifelt",NA,"entspricht","teil",NA,NA,"jahre","prognose","laut","felix","millionen","gesamtbevoelkerung","menschen","schluessig","zahl","beliefert","fluechtenden","weltweit","menschen","liegt","line","laender","pdf","pro","menschen","jahr","report","platz","seite","diesel","rund","todesopfern","seite","jahr","eckert","anteil","pro","vergleich","laender","insgesamt","diagramm","sterbefaelle","anzahl","pro","deutschland","anzahl","gestiegen","mehr","insgesamt","lag","preis","vergleich","zahlen","daten","millionen","tankstelle","liter","liter","verkehrstoten","lag","euro","vergleich","zahlen","milliarden","produktion","schaetzungen","vergangenen"
"10",NA,"aachen","deaths","asylantraege","behaupteten",NA,"geringer","uebrigen",NA,NA,"menschen","daten","gestiegen","platz","anzahl","unhcrbericht","hiv","tatsaechlichen","studie","belieferung","davon","mehr","laut","liegen","staatsbuergern","vergleich","statistik","pdf","millionen","facebookbeitrag","rund","bericht","daten","palmoel","zahl","seien","grippewelle","worldometer","zahl","strassen","rund","mehr","uebersterblichkeit","anstieg","pro","sterbefallzahlen","statistik","betten","rund","laendern","statistischen","millionen","deutschland","bundesamt","euro","anteil","krankenhaeusern","grafik","deutschland","daten","verbrauchen","deutschland","vergleich","rund","jahr","boeing","millionen","jahr","deutschland","lithium","weltweit"
"11",NA,"aan","einbrueche","gestellten","berechnung",NA,"gesamtzahl","vielen",NA,NA,"beispiel","zahlen","hoechsten","gebhardt","ab","laut","hivpositiv","vergleiche","sozialdemokraten","korrekt","tabelle","elektroautos","angabe","insgesamt","aktuelle","erwachsener","anteil","menschen","bundesamt","rentenniveau","prozent","seite","pdf","jahren","millionen","land","daten","tote","vergleich","grafik","insgesamt","oesterreich","vergleich","helioskliniken","divi","bundesamt","statistischen","krankenhaeusern","statistik","elektroautos","umfragen","insgesamt","quote","marcel","adac","jahr","betten","betten","index","super","gas","weniger","jahr","deutschland","diesel","teneriffa","daten","lng","anstieg","daten","bisher"
"12",NA,"aap","etwa","davon","deutschsprachige",NA,"hoeher","bezieht",NA,NA,"durchschnittlich","landesamt","pro","forschungsgruppe","laut","acht","hivinfizierte","zahlen","jahr","versorgt","grafik","ladestation","anzahl","euro","istat","global","versteuern","rund","usdollar","liege","jahr","gilead","schweden","insgesamt","seite","millionen","vergleich","aufstellung","statistik","berechnet","italien","todesfaelle","anstieg","rund","uebersterblichkeit","jahres","vergleich","uebersterblichkeit","vergleich","insolvenzen","jahr","daten","wert","bvg","zahl","gibraltar","diviintensivregister","jahr","wert","pro","zahlen","rund","gas","land","eautos","diesel","winter","rund","rund","jahr","zudem"
"13",NA,"aargauer","gestiegen","menschen","direkt",NA,"irrefuehrend","frage",NA,NA,"genutzt","bisher","prozent","nennt","faelle","jahre","subsahararaum","zb","menschen","wilhelmshaven","deutschland","plus","berechnung","anteil","italienische","median","euro","grafik","zahl","leicht","bericht","hdi","weltweit","weniger","weltweit","gab","anstieg","quelle","uebersterblichkeit","exzessschaetzung","oecd","grafik","sterblichkeit","betten","todesfaelle","kliniken","wert","rund","anstieg","batterien","anteil","afghanen","daten","anteil","elektroautos","mehr","rund","insgesamt","betten","euro","verbrauch","daten","batterie","grafik","elektroautos","kerosin","rund","summe","pro","platz","zirp"
"14",NA,"ab","gut","asylantraegen","erfolg",NA,"naehere","deutschland",NA,NA,"jeweils","prozent","zahl","jahr","morde","jahren","bevoelkerung","zeile","auswandern","zwischenlager","schaetzungen","rest","dunkelziffer","erfasst","italienischen","prozent","groessten","marokko","institut","stimmen","milliarden","index","millionen","stoehr","million","pro","deutschland","vergleich","grippewelle","jahr","millionen","insgesamt","werte","pro","kalenderwoche","statistische","bundesamt","anzahl","mehr","lag","vergleich","jahre","lag","uebersterblichkeit","daten","intensivbetten","uebersterblichkeit","pro","krankenhaeuser","vergleich","europa","lng","eautos","vermoegen","zahl","strompreise","durchschnittlichen","millionen","jahren","wert","seit"
"15",NA,"abalo","jahren","berechnung","etwa",NA,"personen","menschen",NA,NA,"millionen","zaehlt","bundeslaendern","seien","deutschland","ende","millionen","grossteil","drittel","millionen","studie","tabelle","einwohner","facebookbeitrags","leben","vermoegen","deutschen","costeuer","seite","mehr","berechnung","kontext","jaehrigen","toolfuel","opferzahlen","insgesamt","facchinetti","worldometersinfo","jahr","angabe","vermisstenfaelle","euro","anzahl","weniger","bundesamt","pro","geschlossen","wert","weniger","deutschland","lag","liegt","vergleich","weniger","produktion","menschen","erfasst","verhaeltnis","rechnung","spritpreise","fluessiggas","mehr","lag","milch","anzahl","preise","gasspeicher","insgesamt","uebersterblichkeit","uebersterblichkeit","laut"
"16",NA,"abbag","siehe","genannt","facebook",NA,"platz","viele",NA,NA,"quelle","vitt","jedoch","annaehernd","insgesamt","vergleich","laender","januar","europa","teil","bild","seite","gesamtzahl","kleinere","pagella","wealth","tatsaechlich","liter","ifw","seite","institut","studie","rechnung","kosten","pdf","liste","gestorben","genannt","einwohner","aufklaerungsquote","frankreich","pro","deutschland","wert","statistischen","uebersterblichkeit","uebersterblichkeit","bundesamt","anteil","mehr","deutschland","statistik","anzahl","intensivbetten","batterien","lag","mehr","batterie","insgesamt","steuern","tanker","lag","wert","daten","weniger","stark","rechnung","erfasst","geburten","rund","°c"
