"","2001-07-01","2012-12-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-11-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01"
"Share (in %) on corpus","16.7598","32.5843","0","2.0902","0","0","0","11.1111","41.2879","0","5.0351","3.6077","3.5859","5.5326","5.3426","1.3065","12.9397","3.5022","6.9185","21.5567","12.5864","9.7366","8.1725","3.5735","11.3375","4.0222","7.0527","9.1026","14.2833","7.4568","5.4733","5.7529","12.3219","5.35","4.3197","9.7856","4.9915","4.5006","8.2396","12.3392","10.3463","13.6252","10.5594","17.9829","12.6721","14.27","12.0631","10.7005","12.3751","10.0351","8.4052","13.8619","10.219","12.349","11.8211","11.3744","12.0431","7.2036","12.3401","19.136","15.2476","11.0518","10.4981","19.5337","9.3268","9.3243","14.9183","14.5432","10.8269","17.1152","0"
"1","video","foto",NA,"arbeitsbelastung",NA,NA,NA,"damals","spiegel",NA,"video","video","video","video","macron","paris","video","video","le","november","november","video","video","bild","sehen","video","foto","video","bild","foto","foto","foto","foto","foto","video","video","video","video","video","video","foto","video","video","video","afp","video","afp","video","afp","afp","foto","video","afp","video","foto","video","video","video","video","video","video","video","video","video","video","video","video","video","video","video",NA
"2","gezeigten","freitag",NA,"beweist",NA,NA,NA,"screenshot","afp",NA,"frau","medien","macron","sehen","franzoesischen","video","regisseurin","my","pen","frankreich","video","bild","foto","video","fotos","briefwahl","bild","foto","foto","bild","zeigt","video","thunberg","video","foto","videos","bilder","foto","foto","foto","kundgebung","sehen","afp","afp","bild","afp","video","afp","foto","video","video","foto","foto","wahlurne","afp","afp","afp","bild","bild","afp","afp","afp","afp","niederlanden","foto","afp","zeigt","sehen","afp","afp",NA
"3","aufschrift","black",NA,"englisch",NA,NA,NA,"vergangenen","online",NA,"echte","frankreich","the","balkon","website","frankreich","kreta","september","marine","bild","foto","foto","bilder","regierung","franzoesischen","zeigt","zeigt","bild","video","fotos","bild","bild","video","zeigt","fotos","sehen","bild","bild","sehen","sehen","demonstration","bild","bild","foto","foto","foto","foto","foto","video","foto","afp","bild","video","siegel","video","aufnahme","bild","sehen","afp","bild","sehen","stimmzettel","bild","foto","sehen","foto","sehen","foto","foto","sehen",NA
"4","beschaedigen","tag",NA,"langsam",NA,NA,NA,"april","deutschsprachigen",NA,"arm","veroeffentlicht","sehen","esc","konzert","regierung","vlassi","bringen","bilder","sehen","id","wurde","bild","thunberg","zeigt","wahlbetrug","szene","sehen","sehen","zeigt","video","thunberg","bild","bild","bild","fotos","foto","bilder","fotos","bilder","video","foto","foto","zeigt","video","sehen","sehen","bild","aufnahme","user","bild","afp","bild","afp","bild","bild","user","afp","foto","sehen","bild","bild","foto","sehen","nadal","bild","videos","pelosi","user","thunberg",NA
"5","dezember","australien",NA,"lieber",NA,NA,NA,"aufnahme","franzoesischen",NA,"fotos","fernsehsender","ausserdem","franzoesischen","macrons","bilder","ierapetra","gesichtet","wahlbetrug","bilder","js","bilder","fotomontage","wurde","foto","geteilt","zeigen","zeigt","thunberg","park","sehen","bilder","greta","nutzer","szene","zeigt","bergamo","videos","bilder","bild","fotos","videos","zeigt","bild","aufnahme","nadel","bild","aufnahme","bild","aufnahme","zeigt","juli","zeigt","stimmzettel","aufnahme","user","foto","aufnahmen","zeigt","foto","foto","le","zeigt","afp","videos","sehen","aufnahmen","afp","zeigt","zeigt",NA
"6","erklaerte","jahr",NA,"luegenpresse",NA,NA,NA,"aufreger","paris",NA,"geschichten","foto","youtube","stimmen","buergermeister","unruhen","gedreht","insel","foto","foto","franzoesischen","nutzer","regierungsbank","unsere","gelbwesten","eindeutig","macron","fotos","zeigt","sehen","fotos","zeigt","fotos","venedig","minute","bilder","aufnahmen","aufnahmen","zeigt","juli","strasse","zeigt","aufnahme","sehen","sehen","zeigt","zeigt","user","zeigt","nutzerinnen","sachsenanhalt","zeigt","aufnahme","urne","nutzerinnen","foto","sehen","demonstration","aufnahme","zeigt","le","sehen","sehen","bild","afp","user","foto","videos","bild","videos",NA
"7","facebook","viele",NA,"mehrfach",NA,NA,NA,"begruesst","pariser",NA,"gleichen","france","kamera","mann","italienische","wmsieg","eleni","italiener","sehen","demonstranten","bild","bandermann","diaetenerhoehung","nutzer","paris","tatsaechlich","studenten","juli","fotograf","april","aufgenommen","verbreitet","bilder","huendin","strasse","bild","sehen","demonstration","zeigen","mallorca","bild","afp","demonstration","videos","zeigt","bild","aufnahme","hunderte","sehen","bild","sehen","paris","user","bundeswahlleiter","nutzer","sehen","videos","tv","kanada","videos","macron","pen","user","proteste","zeigt","zeigt","szene","mann","aufnahme","foto",NA
"8","facebookpost","western",NA,"politiker",NA,NA,NA,"berichtet","medien",NA,"minute","franzoesisch","rathaus","demonstration","tel","franzoesischen","dreh","leute","twitter","nutzer","helme","facebook","fotos","goldene","bild","sehen","video","bilder","fotos","wurde","italienischen","youtube","dezember","ne","bilder","foto","italien","zeigt","stammt","zeigt","teilnehmer","demonstration","sehen","november","dezember","aufnahme","videos","videos","user","stammt","landtagswahl","sehen","bilder","wahlurnen","aufnahmen","nutzerinnen","aufnahme","aufnahme","hunderte","aufnahme","user","user","bilder","zeigt","bild","september","italien","zeigt","bilder","aufnahmen",NA
"9","feste","son",NA,"schaut",NA,NA,NA,"bilder","agentur",NA,"ab","franzoesischen","gewonnen","hand","zwei","ausserdem","film","nordatlantik","franzoesischen","proteste","paris","babys","montage","kamera","kathedrale","foto","demonstranten","madrid","aufgenommen","video","protesten","bauern","juli","sehen","wahl","venedig","videos","youtube","demonstranten","fotos","siegessaeule","frau","bilder","aufnahme","bilder","harris","bilder","polizei","fotos","hunderte","videos","fotos","sehen","sehen","user","nutzer","zeigt","user","nutzer","aufnahmen","zeigt","stimmen","videos","user","aufnahmen","aufnahmen","afp","november","fotos","bild",NA
