"","2001-07-01","2012-12-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-11-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01"
"Share (in %) on corpus","19.5531","0","0.3091","0.33","0","0","0","0.4831","6.4394","0","0.6191","0.8284","1.8021","2.2394","0.2992","1.1774","0.186","0.1167","0.8193","0.2289","12.4968","0.9686","4.6184","0.9817","0.3356","0.5201","2.2983","1.777","1.2603","1.7914","1.7576","1.4344","1.5577","1.7339","1.6915","7.5383","8.573","9.768","2.9132","8.3359","6.0648","4.6746","10.3082","10.2086","7.2138","12.1954","7.9891","6.6594","7.9728","7.4271","4.3499","3.3497","3.301","4.0755","4.1922","5.7964","5.1019","5.0144","3.8991","2.8574","2.0148","2.6182","2.2562","2.4136","1.9492","3.5238","1.957","3.7899","2.3128","1.8269","30.137"
"1","herde",NA,"basel","bereitgestellten",NA,NA,NA,"verein","standard",NA,"richtwerte","oesterreich","flughaefen","fpoe","eindeutig","oesterreich","bauer","facebookposting","information","innenraeumen","jusos","oesterreich","jusos","maerz","apple","gudenus","kirschen","rackete","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","ibuprofen","archiviert","archiviert","merkel","austria","archiviert","wien","archiviert","archiviert","oesterreich","oesterreich","oesterreich","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert","archiviert"
"2","cateringservice",NA,"services","mehr",NA,NA,NA,"facebook","apa",NA,"befolgen","kurz","barley","islaendische","funktionieren","kurz","mallorca","schaffen","verschaerfungen","handelsblatt","oesterreich","posting","abtreibung","oesterreichischen","besitzer","strache","jusos","carola","dahoam","gustloff","groenemeyer","kai","eberhard","fakten","wiener","archiviert","oesterreich","impfpflicht","coronawarnapp","archiviert","strache","archiviert","maskenpflicht","oesterreich","archiviert","şahin","soeder","wiener","schulen","oesterreich","maskenpflicht","oesterreich","şahin","oesterreich","oesterreich","oesterreich","oesterreich","impfpflicht","lockdowns","oesterreich","linzer","oesterreich","oesterreichischen","warnstufe","maskenpflicht","oesterreich","oesterreich","orgenesis","oesterreich","pistorius","thomann"
"3","geraete",NA,"°c","anfang",NA,NA,NA,"°c","anfrage",NA,"belasteten","sebastian","edreams","wochenblick","gaebe","grund","strengere","technischer","letzten","kantinen","schwangerschaftsabbrueche","gilt","kuchen","oesterreich","erscheine","heinzchristian","salzburger","seawatch","soeder","oesterreich","wien","sebastian","jennifer","presseartikel","coronavirus","meduni","faust","oesterreich","app","hygiene","sz","soeder","wien","wien","sahin","archiviert","archiviert","neustadt","ausgangssperre","kurz","oesterreich","schweiz","soeder","flyer","restaurants","soeder","kretschmer","australian","massnahmen","wien","impfpflicht","maskenpflicht","oesterreich","oesterreich","massnahmen","klimabonus","ueberpruefung","fifa","wien","innsbruck","zirp"
"4","mussten",NA,"µm","°c",NA,NA,NA,"µm","austria",NA,"egal","bundeskanzler","katarina","oesterreich","geplanten","ankuendigung","vorgehensweise","vorfeld","ablehnen","kommenden","beschluss","schweiz","schwangerschaftsabbrueche","oesterreichs","infoseite","fpoe","tschentscher","ekkehart","rackete","wien","herbert","swr","reisen","bayerischen","staedten","wien","coronavirus","wien","ueberpruefende","wiener","quarantaene","maskenpflicht","oevp","maskenpflicht","lockdown","soeder","posting","apa","soeder","duerfen","tragen","austria","maus","wien","verordnung","katastrophenfall","wien","geimpft","coronamassnahmen","oesterreichischen","faeser","neutralitaet","oesterreichische","staatskanzlei","layla","grundversorgung","wien","oesterreich","ueberpruefung","oevp","verordnung"
"5","tempelhofer",NA,"aachen","µm",NA,NA,NA,"aachen","definiert",NA,"eubehoerde","austria","weiblichen","oesterreichischen","importierten","oesterreichischen","weiterhin","september","bundeskanzleramt","oesterreich","paragrafen","befuerchtet","schwangerschaftswoche","tatsachen","ios","juengsten","oesterreich","gmbh","links","island","fakten","ardaktuell","links","httpswwwfacebookcomphotophpfbidampseta","fakten","oesterreich","links","coronavirus","island","bierstrasse","spiegelartikel","oesterreich","oesterreich","kurz","soeder","impfen","wien","oesterreich","april","impfpflicht","oeffentlichen","impfpflicht","restaurants","massnahmen","poettler","gregel","şahin","coronamassnahmen","oesterreich","oesterreichs","oesterreich","oeffentlichen","maskenpflicht","massnahmen","songs","horowitz","oesterreichischen","xhaka","posting","miklleitner","seit"
"6","laut",NA,"aan","aachen",NA,NA,NA,"aan","heisst",NA,"eurichtlinien","berchtold","pragentur","gesundheitsamt","israelischen","oesterreichs","kurz","°c","einziger","ramadan","streichung","beschraenkungen","schwangerschaftsabbruechen","fest","kam","oesterreichs","archiviert","mehler","aargauer","veranstaltungen","oesterreich","kurz","bayern","information","fuehrerscheins","ueberpruefende","negativzinsen","maskenpflicht","metern","maskenpflicht","maskenpflicht","kinder","laender","personen","impfen","austria","massnahmen","wien","oesterreich","massnahmen","eriksen","apa","volksbegehren","soeder","mueckstein","impfen","dezember","gilt","wien","oesterreichische","ostern","orf","apa","besuche","gilt","maskenpflicht","veranstaltungen","wien","einschaetzung","niederoesterreich","etwa"
"7","abgebaut",NA,"aap","aan",NA,NA,NA,"aap","oe",NA,"importierten","bundeskanzlers","zertifikat","pressesprecher","partner","innenminister","trick","µm","fest","spielen","frist","betroffen","spd","beschnitten","musst","trete","kunstprojekt","archiviert","bayerischen","schulen","oesterreichischen","kuendigung","konzert","bewertung","links","coronavirus","fakten","oevp","santamaria","gmbh","facebookposting","ueberpruefende","tragen","massnahmen","mitarbeiter","apa","oesterreichischen","maskenpflicht","lockdown","gastronomie","vermummungsverbot","ueberpruefung","facebookposting","respekt","zertifikatspflicht","ungeimpfte","impfpflicht","euverordnung","gnachweis","bauer","apa","ahrends","franz","ueberpruefung","verordnung","maske","oesterreichs","neuer","rumaenien","oscar","euverordnung"
"8","behauptungen",NA,"aargauer","aap",NA,NA,NA,"aargauer","ressort",NA,"verstoesse","entsprechen","wien","naemlich","star","vorbereitet","tweet","aachen","kommuniziert","thomas","kuehnert","bundesvorsitzende","foetus","breiteren","aufgrund","unkenntlich","pflege","italienischen","carola","islaendischen","etwa","wiener","tweet","mitarbeiter","einschaetzung","ueberpruefung","maerz","verpflichtende","kontakte","merkel","apa","markus","wienwahl","graz","dezember","mitarbeiter","graz","maerz","ber","kogler","masken","facebookposting","gilt","apafaktencheck","gilt","gilt","coronamassnahmen","oesterreichischen","impfpflicht","ueberpruefung","betreten","oesterreichischen","kunden","ausgerufen","empfehlung","treffen","bundesheeres","hotel","apa","darf","jaenner"
"9","bekannt",NA,"ab","aargauer",NA,NA,NA,"ab","tatsaechlich",NA,"eingehalten","erwarten","gehoeren","sei","termin","pressekonferenz","gross","aan","lars","zweitens","schwangerschaftsabbruechen","daenischen","dezember","broschueren","unterschrift","vereins","umsatz","aargauer","oesterreich","regierungserklaerung","innsbruck","presseartikel","fakten","wegen","teilte","maerz","massnahmen","nutzung","club","oesterreich","lockdown","lockdown","masken","abstand","massnahmen","maskenpflicht","maskenpflicht","soeder","posting","maskenpflicht","arbeitnehmer","bundeskanzleramt","bayerische","meduni","maskenpflicht","personen","gelten","tweet","verwaltungsgericht","facebookposting","sicherheit","bauer","posting","einschaetzung","gelten","frauenhaeusern","westautobahn","one","bmi","uni","rund"
