"","2001-07-01","2012-12-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-11-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01"
"10",NA,NA,"menschliche","abbag",NA,NA,NA,NA,NA,NA,"extreme","liegt","eingestellt","letzten","aan","globaler","beguenstigt","artikel","hessen","broschueren","laengeren","wissenschaft","widersprach","gibt","schon","eindeutige","tonnen","klimawandel","esuservices","ppm","atmosphaere","klimawandel","klimapass","new","gletscher","betreiber","rueckgang","noaa","vergangenen","reste","gebe","erde","welt","wissenschaftler","folgen","chemikalien","umweltbundesamt","katze","himmel","nordpol","amap","verursacht","klima","palma","klimawandel","nie","abgeschaltet","stromausfaellen","erwaermung","strahlung","ausdehnung","temperaturen","wetterkarten","tagesschau","atmosphaere","globalen","flaechen","windraeder","temperaturen","eisbaeren",NA
"11",NA,NA,"muessten","abbau",NA,NA,NA,NA,NA,NA,"getreide","planeten","etwa","britischen","aap","paar","eigenmaechtig","°c","bau","eis","anfang","letzten","hoechstwerte","facebook","of","energien","wissenschaftler","atmosphaere","amazonas","strom","erwaermung","ocean","trockenzeit","co","ausdehnung","schwaene","tonnen","verspruehen","rot","jahre","rey","wissenschaftler","jahr","prozent","carbon","winter","windenergie","schwefelsaeure","klima","atmosphaere","arktis","bach","mensch","millionen","jahr","animation","abschaltung","co","kohlendioxid","anlagen","celsius","energien","temperatur","hitzewellen","erwaermung","ipcc","apfelsaftschorle","co","erde","erderwaermung",NA
"12",NA,NA,"nachhaltigen","abbauen",NA,NA,NA,NA,NA,NA,"helle","saechsischen","festzulegen","facebook","aargauer","passt","erstaunlich","µm","baeume","energieunternehmen","kleiner","juni","stamme","analysieren","innerhalb","energiewende","artikel","gemessen","braenden","forscher","klima","susan","folgen","atmosphaere","meereis","wetter","meter","messungen","voegel","geologische","universitaet","ausdehnung","aufhoeren","cokonzentration","chemische","ballasttanks","windraedern","wind","tagesschau","beeinflussen","erderwaermung","erftstadt","hektar","la","coausstoss","automobilindustrie","kohlekraftwerke","erdkruemmung","strommix","fossilen","megawatt","erneuerbaren","celsius","windkraftanlagen","sommer","cokonzentration","erde","erwaermung","erderwaermung","erwaermung",NA
"13",NA,NA,"nennt","abbauprodukt",NA,NA,NA,NA,NA,NA,"hierher","tatsache","gestorbene","wurden","ab","snopes","greift","aachen","flaeche","freigegeben","bekommt","seien","fukushima","aufzeigen","einsatz","extreme","fakten","emissionen","dwd","hektar","vahrenholt","times","kohlendioxid","absichtlich","wetter","klimaforscher","sonneneinstrahlung","tanks","wetter","gewaltigen","tot","devils","ausgeglichen","denkfehler","entweicht","flugzeugen","wintereinbruch","avondale","gazette","umweltbundesamt","tonnen","klimawandels","thuene","analyse","behncke","basierte","temperaturen","erneuerbare","atmosphaere","generell","jahrhunderts","veraenderungen","rot","farben","erde","wissenschaftlichen","klima","windkraftanlagen","grad","globalen",NA
"14",NA,NA,"planeten","abbild",NA,NA,NA,NA,NA,NA,"juli","vielen","klimatische","°c","abalo","ueberschwemmungen","hitze","aan","flaechen","geringer","hoehe","agency","of","beeinflusst","jahre","genuegend","erwaermung","prozent","august","tonnen","vulkane","studien","hitzewellen","victoria","ball","artikel","temperaturen","himmel","erwaermung","haeckl","grafik","meilen","beobachtete","erdatmosphaere","erneuerbare","tiere","wasser","schnee","interaktive","verspruehen","jahre","olten","wald","benfordschen","ausgestossen","erderwaermung","institut","sichtweite","hunde","saharastaub","heutigen","herstellung","erwaermung","rot","waldbraende","erklaerung","postings","grafik","erdoel","vahls",NA
"15",NA,NA,"prognostizierten","abbilden",NA,NA,NA,NA,NA,NA,"landwirtschaft","gegenteil","klimawandel","µm","abbag","unterstrich","kommt","aap","wald","grafik","falsch","alpha","ueberprueft","berechnung","geteilt","gewissen","geschwindigkeit","erwaermung","luft","mehr","brief","archiviert","klimawandels","daten","einfluss","strom","boden","jahr","miteinander","karten","folge","nordpol","carbon","erwaermung","fluegel","klimaschutzmassnahmen","eis","simeri","darstellung","flugzeuge","bodenschichten","erderwaermung","erwaermung","coausstoss","kachelmann","guenstigen","atomausstieg","tonnen","verursacht","stromleitung","luft","atmosphaere","erde","globalen","bodensee","menschengemachten","afp","energiewende","globalen","wald",NA
"16",NA,NA,"senken","abbildet",NA,NA,NA,NA,NA,NA,"ndr","gross","liefern","aachen","abbau","gleich","modells","aargauer","gebaut","greenpeace","faktencheck","bundesumweltamt","ergebnis","dramatische","°c","grad","httpdpaqdevhgsy","globalen","jahr","atmosphaere","coemissionen","cogehalt","nasa","seit","eiszeit","wissenschaftler","co","co","karte","untere","alaska","baeume","chemikalien","jahrhundert","luftqualitaet","rudel","eisansatz","verizon","karten","versprueht","tieferen","haeufiger","ipcc","golfstrom","vieja","ho","blackouts","weidner","strom","verkleinern","weniger","co","heute","jahr","afp","luft","auswirkungen","erreichen","konsens","grad",NA
"17",NA,NA,"waere","abbildung",NA,NA,NA,NA,NA,NA,"niveau","frueheren","publik","aan","abbauen","oeffentlicher","redaktionen","ab","abgeholzt","nationen","vergleich","dokumentation","dabei","einfluss","µm","langfristige","ipcc","klima","feuer","klima","erderwaermung","erderwaermung","jahr","erde","globale","celsius","luft","hoeher","jahr","landwirtschaft","ausbau","deutlich","geophysiker","klima","physische","testfluegen","investoren","windenergie","kohlenstoffdioxid","entwicklung","jahren","mehr","meteorologe","klima","jahren","klima","bnetza","atomausstieg","aktuelle","virginia","allein","finzel","einfluss","sommer","treibhausgase","letzten","apfelschorle","gebaut","jahren","vahl",NA
"18",NA,NA,"stelle","abbildungen",NA,NA,NA,NA,NA,NA,"orange","jahrzehnten","schnell","aap","abbauprodukt","vergangenheit","regionale","abalo","natur","natuerliche","netz","energie","kurz","eis","aachen","masse","ipccbericht","ppm","sei","manns","jahren","erwaermung","klimaforscher","erwaermung","groenland","tonnenweise","jahr","letzten","erklaert","hoehe","bundesstaat","flaeche","himmel","schichten","recycelbar","airbus","bundesverband","antenne","lexikoneintrag","jahren","vergangenen","rohr","konsens","klimawandel","emissionen","leistung","kohle","grad","globalen","zeichnete","brennstoffzelle","kohle","schwedischen","frueher","windraeder","klimawandels","ernte","alley","mensch","winter",NA
"19",NA,NA,"taeglich","abbinder",NA,NA,NA,NA,NA,NA,"schlagen","besonderheiten","sichtbar","aargauer","abbild","laengst","sechs","abbag","prozent","regionen","erst","enge","letzten","ergebnissen","aan","reduzieren","klimawandel","global","climatepartner","temperatur","artikel","grad","mensch","grafik","meereises","wissenschaftliche","einfluss","email","dargestellt","rtl","lutz","planet","nasa","waerme","recycling","gekuehlt","helikopter","energie","sauberer","awi","daten","tonnen","wissenschaft","mais","vulkanausbruch","scherzhaft","reserve","haeufung","tieren","wind","co","recycelt","sonnenblumen","temperatur","temperaturen","ppm","heitlinger","klimawandel","alley","baeume",NA
