"","2001-07-01","2012-12-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-11-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01"
"Share (in %) on corpus","47.486","0","4.3277","51.4851","8.5271","49.4624","45.9701","12.5604","0","0","24.1849","19.5083","25.947","21.8479","17.1677","44.9677","26.5148","28.6715","32.0209","23.1782","51.3828","10.2294","25.4555","46.8683","25.4314","52.0631","20.7339","16.8985","14.7958","14.0346","9.0965","16.9518","10.6734","14.4231","10.7964","10.6475","7.5278","5.9762","9.5211","4.3327","7.1726","6.1294","7.922","6.2284","6.633","4.6213","7.9345","6.5784","4.485","8.8904","6.016","6.4513","11.2693","8.434","7.4068","7.7467","6.0553","6.5623","9.1755","5.2192","9.1255","14.8311","7.0145","7.9198","8.0282","10.4585","13.4876","14.7849","13.4662","10.9461","19.4064"
"1","unterkunft",NA,"berlin","fluechtlinge","artikels","ausbildung","fest","moeglichst",NA,NA,"euro","tafel","euro","urteil","tuerkei","euro","kirchhof","dalai","euro","unhcr","euro","deutschland","bagw","deutschland","euro","afd","euro","fluechtlinge","fluechtlinge","afd","euro","euro","gesetz","deutschland","euro","drucksache","euro","euro","bundestag","zahlungen","iwf","bundeswehr","gesetz","gesetz","euro","einnahmen","resolution","gruenen","bundeswehr","gruenen","cdu","gefluechteten","euro","bundestagswahl","euro","queensland","kodex","gesetz","gesetz","artikel","gold","deutschland","euro","euro","gesetz","bundeswehr","euro","eurogendfor","euro","euro","artikel"
"2","sollen",NA,"anonyme","wohnungen","asylbewerbern","besser","menschen","menschen",NA,NA,"anonymous","euro","bundesregierung","parstodaycom","euro","migration","euro","lama","fluechtlinge","deutschland","projekt","bamf","deutschland","euro","bundestag","eu","spd","euro","euro","seite","asylbewerber","grundrente","sag","grundrente","deutschland","antrags","deutschland","kloeckner","lage","bundesregierung","weltbank","bundestag","einbuergerung","spahn","spahn","euro","deutschland","eu","afd","programmentwurf","wahlprogramm","lichtblicke","bundesregierung","wahl","bundesregierung","parlament","anordnungen","kodex","urteil","bevoelkerungsschutzgesetz","deutschland","rente","milliarden","buerger","bundeswehr","euro","charta","euro","deutschland","gefluechtete","eu"
"3","sprecher",NA,"asylbewerber","einwanderer","auftraege","mehr","anerkannt","bleibt",NA,NA,"buergen","deutschland","etilaf","euro","deutschland","juli","wespen","laender","deutschland","euro","fluechtlinge","euro","bundestages","tuerkei","watergatetv","fdp","rente","deutschland","abgeordnete","richtig","kosten","gruenen","fluechtlinge","euro","afd","inhalt","bundesregierung","asylbewerber","gesetzentwurf","kirchhof","massnahmen","trans","deutschland","euro","bundestag","fluechtlingen","gesetz","euro","bundesregierung","papier","afd","gefluechtete","soforthilfe","wahlen","verordnung","eu","fema","fuellmich","arbeitslosengeld","ermaechtigungsgesetz","vertrag","gefluechtete","bundesregierung","niederlaendische","deutschland","kommando","buergergeld","staat","verordnung","eu","verordnung"
"4","laf",NA,"asylsuchende","migranten","beantragt","zaehlen","fluechtlinge","deutschland",NA,NA,"gesetz","sei","suedwestmetall","schreibt","watergatetv","artikel","echtjetzt","malmoe","erhalten","griechenland","bagw","asyl","neuen","eu","hoehe","bundestagswahlprogramm","eu","arbeit","dalai","steht","deutschland","migration","tafel","bundesregierung","bundesregierung","fluechtlinge","banken","bundestag","nationaler","steht","dokument","weltbank","bundestag","impfpflicht","gesetz","fluechtlinge","versammlung","kosten","gruenen","deutschland","gruenen","euro","gruenen","parteien","gesetz","gesetze","leitfaden","aenderung","bmas","paragraf","zentralbank","rentenversicherung","erhalten","gesetz","eu","bundesregierung","deutschland","eu","geld","bargeld","dafuer"
"5","bewohner",NA,"aufzuklaeren","eigentuemer","begruendeten","akademischen","wurde","geoeffnet",NA,NA,"wohnungen","dokument","rottweil","spd","milliarden","screenshot","gesetz","land","dsgvo","obdachlose","menschen","antraege","menschen","sollen","abgeordneten","linke","rentner","gesetz","lama","wolle","fluechtlinge","ausgaben","enteignung","anfragen","migration","streichung","asylbewerber","deutschland","tragweite","bundeswehr","erhalten","rente","zustimmung","infektionsschutzgesetzes","impfpflicht","erklaert","bundestag","badenwuerttemberg","eu","aerztetag","verbot","milliarden","vetorecht","deutschland","deutschland","gesetz","verordnung","aenderungen","massnahmen","parlament","elternteil","mdr","leistungen","eu","gesetzes","aufgaben","artikel","kommission","brd","deutschland","eukommission"
"6","bewohnern",NA,"derzeit","massnahme","bereits","anerkannte","beispiel","letzte",NA,NA,"fluechtlinge","innenministeriums","verband","sollen","familie","eu","beitragsservice","fluechtlinge","vosshoff","erhalten","bekommen","baumann","recht","kosten","amtsgehalt","euwahlprogramm","erhalten","dalai","gutachten","asylbewerber","jobcenter","asylbewerber","bank","anonymous","fluechtlinge","foerderung","kloeckner","fluechtlinge","epidemischen","schueler","bedingungen","bekommen","eltern","dokument","urteil","bundesregierung","parlamentarischen","bundestag","duerfen","initiative","lage","bundesregierung","bundestag","ungueltig","bundestagswahl","deutschland","eu","gerichtshof","arbeitssuchend","abkommen","zweiplusviervertrag","deutsche","staat","gefluechteten","verbot","erhalten","abgeordneten","europaeische","gefluechtete","gesundheitsvorschriften","europaeischen"
"7","erhalt",NA,"fluechtlinge","mittelmeer","bewertet","anerkannter","abgeschoben","uebrig",NA,NA,"grandt","landauer","wohnungen","news","schreibt","wespen","ferdinand","europa","haus","deutschen","deutschland","tafel","deutsche","deutschen","bundesminister","deutschland","tuerkei","grundgesetz","laender","gruenen","zahle","arbeit","buerger","rentenversicherung","cdu","eu","duerfen","diaeten","fdpfraktion","correctiv","belta","spahn","einwilligung","bundestag","infektionsschutzgesetzes","spahn","entscheidungen","pdf","europaeischen","impfpflicht","union","ausgaben","sperren","bundestag","bundestag","palaszczuk","deutschland","euro","recht","infektionsschutzgesetzes","reform","erhalten","deutschland","regierung","bundestag","gesetz","staat","egf","staat","digitale","focus"
"8","geht",NA,"gleichstellung","unhcr","erhalten","arbeitsagentur","antragsteller","abgespielt",NA,NA,"illegale","meuthen","anfrage","bamf","laut","bmas","journalistenwatch","sollten","cdu","asylbewerber","projekte","asylbewerber","heisst","voss","checknews","cdu","parteien","unterkunft","artikel","unterricht","sexualerziehung","krampkarrenbauer","euro","anspruch","rentenversicherung","deutschland","unternehmen","bundesregierung","rechtsverordnungen","fluechtlinge","abschaffung","aufgaben","euro","regierung","impfdokumentation","eu","europarat","lebensversicherung","kommission","recht","bundestag","aenderung","bundeshaushalt","afd","verordnungen","kosten","resolution","impfpflicht","deutschland","verabschiedet","ministerium","bundeswehr","geld","artikel","einsatz","bank","massnahmen","europaeischen","urteil","digitalen","kommission"
"9","gesetz",NA,"herkunftsland","artikel","sollten","bedeuten","artikel","abschliessende",NA,NA,"journalistenwatch","einwanderer","compactmagazin","irib","bmf","migranten","toeten","tibeter","geduldete","tuerkei","gibt","mehr","wohnungslosen","familie","fingerabdruecke","spd","rundfunkbeitrag","bundestag","erhalten","deutschland","monat","rente","deutschland","bundestag","erhalten","schulen","aussage","gesetzentwurf","anordnungen","deutschland","kredit","autofahrer","bundesregierung","bussgelder","iwf","abgeordneten","rechtlich","lebensversicherungen","ddr","euro","aenderung","lage","bund","geregelt","afd","muessen","heisst","klage","erhalten","gesetz","waehrung","gilt","laender","gefluechtete","entwurf","ministerium","gesetz","eukommission","eu","fluechtlinge","form"
