"","2001-07-01","2012-12-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-11-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01"
"Share (in %) on corpus","2.2346","0","1.2365","8.3608","0","0","8.6567","11.8357","0.3788","31.9149","2.3112","6.574","4.1192","6.8686","3.2911","10.0968","1.8751","3.3621","10.3095","13.2392","1.895","14.3755","7.3606","8.9142","10.3547","7.6976","6.52","9.751","10.0235","8.1341","9.906","8.7674","5.6091","8.3249","7.2203","7.571","3.2534","2.7189","3.6697","5.2854","4.4406","5.9927","3.3532","4.892","3.0675","3.3425","1.9786","2.3249","5.7374","6.9033","4.283","4.0996","6.0519","5.7133","4.0274","5.1289","7.0133","5.7252","7.7003","9.0342","8.794","8.9257","6.6884","6.5495","9.1286","14.0358","9.0744","6.6811","10.7498","5.9544","2.5114"
"1","bewertung",NA,"bildzeitung","countdown",NA,NA,"bild","schreiben","artikels","teilen","postillon","traditionshase","reiter","fans","screenshot","seite","screenshot","webseite","namen","gruenen","pfandflaschen","bild","seite","seite","plakate","plakat","antifa","bild","foto","seite","marinaleda","bild","nabil","foto","mimikama","archiviert","foto","bild","huzlers","wdr","foto","impressum","wdr","foto","tweet","harz","seite","foto","baerbock","baerbock","gruenen","baerbock","baerbock","baerbock","screenshot","gewinnspiel","gewinnspiel","lauterbach","gewinnspiel","angeblichen","gewinnspiel","screenshot","gewinnspiel","gewinnspiel","gewinnspiel","gefaelschte","seite","lauterbach","seite","plakat","anzugeben"
"2","erkennen",NA,"frank","gibt",NA,NA,"angeblich","wort","°c","beitraege","steht","osterhasen","gruenen","hofreiter","fischer","igor","andre","screenshot","seite","bild","bernburg","facebookseite","umfrage","faelschung","satire","foto","regener","foto","bild","loehrmann","foto","netto","hofreiter","archiviert","archiviert","foto","link","foto","foto","foto","satire","gewinnspiel","gewinnspiel","ihk","bild","foto","post","gruenen","lauterbach","gruenen","bild","aktion","neubauer","gruenen","tweet","facebookseite","lauterbach","gewinnspiel","seite","faelschung","impressum","gewinnspiel","impressum","lauterbach","foto","baerbock","gewinnspiel","gewinnspiel","unternehmen","seite","erst"
"3","handele",NA,"keller","satire",NA,NA,"angebliche","anfrage","µm","geteilt","aehnlichkeiten","osterhase","milka","satire","njemacka","kroatischen","seite","mag","hofreiter","wurde","enthaelt","fake","webseite","meldung","facebookseite","antifa","stadtwerke","facebook","wurde","foto","loewen","merz","foto","tesla","antifa","mimikama","google","archiviert","seite","seite","seite","gruenen","foto","express","foto","seite","aushang","bild","gruenen","annalena","hofreiter","annalena","tweet","foto","lauterbach","bild","seite","wdr","impressum","bild","seite","bild","angeblichen","angeblichen","impressum","lauterbach","faelschung","angeblichen","musk","offiziellen","immer"
"4","kommentierten",NA,"schickt","websites",NA,NA,"begriffe","angebracht","aachen","gibt","anerkannt","rossmann","facebook","ausstellung","poslovi","premuzic","facebookseite","seit","webseite","hofreiter","facebookseite","tweet","banknote","direktbanken","gruenen","keller","bild","handelt","seite","bild","webseite","lindt","mimikama","oma","foto","links","whatsapp","merz","buzz","angeblichen","screenshot","hofreiter","impressum","tweets","abbildung","vermeintlichen","plakat","schild","foto","witwenrente","grillverbot","bild","annalena","tweet","foto","foto","angeblichen","gmbh","screenshot","gewinnspiel","lauterbach","seite","seite","impressum","seite","plakat","foto","seite","angeblichen","faelschung","impressum"
"5","°c",NA,"steckt","facebook",NA,NA,"dafuer","aufruf","aan","grund","auftauchenden","ware","gewinnspiel","schumacher","tesla","webseite","verkauft","text","satire","plakat","gutschein","wurde","foto","ostertag","foto","handelt","steht","webseite","beitrag","gruenen","seite","seite","kellers","bild","adresse","milka","webseite","kontaktdaten","stammt","schreiben","ostertag","onlineshop","angeblichen","tweet","schilder","hofreiter","unternehmen","kinderinnen","annalena","hamburg","cocacola","foto","schild","merz","echt","herstellungsdatum","impressum","angeblichen","angeblichen","screenshot","angeblichen","faelschung","lauterbach","baerbock","angeblichen","faelschung","bild","musk","standort","foto","mai"
"6","µm",NA,"weitergabe","schon",NA,NA,"darauf","bau","aap","handelt","bare","seit","links","abonnenten","meldung","facebook","emailadresse","webseiten","wurde","namen","schild","foto","schon","verbraucherzentrale","handelt","gruenen","foto","hooligans","facebook","wurde","bild","mimikama","zgi","wdr","darauf","unternehmen","archiviert","laden","gespeicherten","faelschung","adresse","seite","lidl","screenshot","schild","allgaeuer","bild","hofreiter","screenshot","lse","anton","seite","plakat","lauterbach","karl","impressum","daten","impressum","echt","tweet","screenshot","foto","facebookseite","seite","lauterbach","seite","echt","impressum","impressum","gefaelschten","post"
"7","aachen",NA,"wissen","echte",NA,NA,"dazugehoerigen","blick","aargauer","helfen","beantwortet","facebook","unternehmen","anton","webseite","kroatische","profile","autounfall","bild","facebook","schwarzen","beitrag","nutzer","bild","faelschung","bild","gruenen","satzbau","internet","archiviert","angebliche","angeblichen","bild","facebook","gruenen","facebook","links","links","satire","screenshot","berlinerexpresscom","suesschencom","seite","koeln","unternehmen","zeitung","facebookseite","mobile","muenster","foto","foto","impressum","twitter","bild","entfuehrung","angebliche","screenshot","faelschung","facebookseite","angebliche","angebliche","impressum","gores","foto","daten","kampagne","facebookseite","foto","sms","angeblichen","stammen"
"8","aan",NA,"nrw","screenshot",NA,NA,"echtes","briefkopf","ab","jedoch","darauf","maerz","heisst","empoert","steht","post","focus","besuche","grund","november","urheber","nutzer","meldung","steht","seite","sehen","satireaktion","archiviert","archiviert","reker","mimikama","webseite","dawuhd","extinction","bild","aldi","nachrichten","google","focus","google","betreiber","foto","screenshot","angeblichen","screenshot","artikel","impressum","wort","bild","bild","fegebank","gruenen","faelschung","annalena","angeblichen","seite","echt","screenshot","unternehmen","lauterbach","daten","schick","mattel","facebookseite","echt","gewinnspiel","impressum","faelschung","volkswagen","bild","tweet"
"9","aap",NA,"°c","website",NA,NA,"entlarven","charakter","abalo","selben","dreist","empoerung","webseite","loewen","bild","deutsch","darauf","bild","tweet","screenshot","foto","mimikama","bild","artikel","april","wurde","verwendet","spahn","nutzungsbedingungen","luftballons","nutzer","kg","fridays","rebellion","adidas","post","betrueger","facebookpost","daten","finden","bitcoin","sharepic","webseite","neujahrsempfang","nutzer","aushang","zeitlosliebede","echt","karl","seite","baerbock","angeblichen","screenshot","angeblichen","gewinnspiel","post","facebook","angebliche","bild","foto","edeka","stammt","faelschung","sharepic","angebliche","gefaelscht","zeitung","offiziellen","facebookseite","gefaelschte","wort"
