"","2001-07-01","2012-12-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-11-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01"
"Share (in %) on corpus","0","0","9.4281","4.6205","31.0078","34.4086","22.6866","8.9372","50.7576","68.0851","13.3306","38.4554","37.9919","26.0256","26.3285","25.7258","33.5348","54.8447","20.7101","19.6681","9.6415","28.5981","32.8342","11.938","14.4295","12.0839","15.6737","22.2046","20.8704","37.4013","24.1829","20.0199","20.3479","17.3386","21.9674","12.2675","6.4014","5.5308","14.4599","12.7078","10.7523","11.6153","8.6027","7.68","5.2301","6.9237","5.6504","6.6003","3.6438","4.6436","4.8454","10.8596","4.8305","3.0549","5.724","3.7815","3.3625","2.9592","4.5541","6.3573","4.4244","3.6571","2.9084","3.6217","5.0497","5.2983","5.605","6.4395","5.8318","6.6944","1.3699"
"1",NA,NA,"polizeilichen","worden","minderjaehrigen","tauber","deutsche","buergermeister","meldung","artikel","mainz","polizei","kind","polizei","correctiv","polizei","polizei","polizei","polizei","stadt","correctiv","polizei","polizei","correctiv","correctiv","straftaten","opfer","polizei","polizei","taeter","polizei","polizei","polizei","polizei","tat","polizei","polizei","polizei","floyd","mann","polizei","polizei","kinder","polizei","frankfurt","polizei","polizei","polizei","polizei","kinder","mann","polizei","polizei","kinder","polizei","polizei","polizei","berlin","polizei","frau","polizei","gewalttaten","rettungseinsaetze","polizei","polizei","polizei","erik","polizei","polizei","polizei","artikel"
"2",NA,NA,"truthnet","bezirksamt","faellen","twitter","falschmeldung","maedchen","festgenommen","kinder","staatsanwaltschaft","taeter","polizei","schreibt","straftaten","sei","correctiv","chemnitz","halle","polizei","maenner","brief","mann","papenburg","polizei","gewalttaten","zuwanderer","correctiv","mann","tat","taeter","mann","ice","personen","hanau","migranten","berlin","correctiv","polizei","kinder","kinder","frau","polizei","mann","frau","masturbationszimmer","sei","kinder","hoefler","getoetet","polizei","kinder","kinder","sei","sachsen","kinder","kinder","polizei","sachsen","polizei","frau","polizei","einsaetze","kassel","soemmerda","sachsen","mann","frau","mann","berliner","anfangs"
"3",NA,NA,"berliner","sechs","alter","veroeffentlicht","frauen","meldet","breitbart","juli","februar","sei","hamburg","zwei","polizei","hingst","truth","halle","leaks","dortmund","mann","pressemitteilung","correctiv","wegen","sentinelle","correctiv","bka","mann","vorfall","polizei","tatverdaechtigen","truth","maenner","wegen","polizei","worden","moschee","polizisten","vorfall","vermisst","berlin","polizisten","kind","berlin","polizei","kinder","mann","wegen","migranten","polizei","kinder","mann","stadt","polizei","mann","abschiedsbrief","frau","berliner","vorfall","mann","berlin","straftaten","polizei","stadt","mann","freien","uhr","mann","frau","haverbeck","deshalb"
"4",NA,NA,"meistens","anonymousnewsru","schwedischen","absolviert","freistaates","stadt","seien","vermisste","maedchen","halleleaks","taeter","kind","kriminalstatistik","artikel","chemnitz","leaks","anonymousnewsru","fall","tuerkischen","wurde","passiert","springer","sei","heilig","straftaten","fall","correctiv","fall","personen","straftaten","maedchen","ermittelt","anschlag","per","berliner","chemnitz","baustelle","correctiv","berliner","berliner","staatsanwaltschaft","berliner","lampedusa","heim","berlin","staatsanwaltschaft","stuttgart","wolf","jaeger","rheinlandpfalz","mann","stadt","fall","frau","krankenhaus","sachsen","kinder","junge","mann","mann","gewalt","mann","ermittlungen","pellmann","ollson","vorfall","julia","silvesternacht","geschlagen"
"5",NA,NA,"stellte","aufgefallen","asylbewerber","aerger","januar","bautzen","wegen","verschwunden","drei","berlin","truth","artikel","fall","anfrage","sachsen","correctiv","schaf","stoeckl","schule","januar","pressemitteilung","pressemitteilung","wurde","personen","auslaender","tat","wurde","staatsbuerger","wurde","berliner","zug","worden","taeter","frau","jungen","pressemitteilung","schwarze","polizei","diakonie","berlin","maedchen","sanitaeter","familie","sei","stadt","fall","gewalt","berlin","tat","wuerzburg","august","goettingen","doebeln","klinik","mann","kinder","frau","bonn","vater","faeser","zug","brief","staatsanwaltschaft","stadt","staatsanwaltschaft","staatsanwaltschaft","staatsanwaltschaft","stadt","verwunderlich"
"6",NA,NA,"arabische","aufklaeren","behoerden","arbeiteten","maenner","arabischen","angeklagt","bekannt","frau","laut","tat","worden","jaehrigen","staatsanwaltschaft","taeter","vorfall","sei","bodo","oktober","vorfall","jaehrigen","fall","artikel","frau","polizei","kinder","uhr","pressestelle","halle","worden","bahn","wurde","tobias","seien","gebetsruf","sachsen","polizeigewalt","juli","jugendliche","mann","fall","frau","razzia","klinik","wsz","waldheim","einsatzleiter","stadt","wuerzburg","nuerburgring","kinderleichen","kind","vorfall","chemnitz","wegen","hamburg","uhr","vorfall","krankenhaus","opfer","bahn","frau","thueringer","wegen","tiergarten","julia","fall","worden","°c"
"7",NA,NA,"arabischen","befindet","bisher","artikel","veroeffentlicht","beantworten","berief","bitte","correctiv","schueler","staatsanwaltschaft","jaehrige","polizeiliche","teilte","pressemitteilung","weser","wurde","schule","schreibt","fall","vorfall","haetten","bisher","bka","ostritz","worden","taeter","per","worden","november","taeter","pressemitteilung","worden","correctiv","muslime","maenner","getoetet","maedchen","stellenanzeige","august","kindern","feuerwehr","stadt","per","januar","eltern","berlin","teilte","stadt","thw","rheinlandpfalz","mann","taeter","wangen","schwarze","amoklaeufer","personen","euskirchen","worden","tat","badenwuerttemberg","uhr","landkreis","chemnitz","schwedischen","landshut","wegen","berlin","µm"
"8",NA,NA,"behauptet","begonnen","deutsch","bloed","worden","bekanntmachung","berufung","damals","leaks","emde","laut","fall","faelle","survivor","august","zwei","correctiv","correctiv","medien","mehrere","nachfrage","februar","koblenz","stadt","fluechtlinge","artikel","pressemitteilung","correctiv","jaehrige","zuwanderung","berliner","mann","februar","wegen","mann","eltern","person","frau","seien","sonntag","schweinfurt","drk","correctiv","zeitung","krankenhaus","sachsen","kinder","maenner","uhr","helfer","biker","bka","berlin","oldenburg","saechsische","luftrettung","stadt","familie","bus","fluechtlinge","frau","wegen","koelleda","leipzig","ermittlungen","sei","verletzungen","rettungswagen","aachen"
"9",NA,NA,"correctiv","berichten","drei","deren","gibt","bieten","deutsche","erscheinen","artikel","correctiv","messer","anonymousnewsru","worden","tat","sei","sei","worden","behauptungen","menschen","polizisten","jaehriger","veroeffentlichte","maedchen","zuwanderer","sachsen","opfer","sei","sei","marburg","sexuelle","fall","artikel","vater","goerlitz","sei","beamten","correctiv","floyd","correctiv","polizist","wegen","kind","sei","mann","fall","migrationshintergrund","uhr","uhr","wolf","straftaten","fahrbahn","nordrheinwestfalen","junge","bekannt","sei","klinikum","gestorben","muenchner","kinder","geloescht","sexueller","taeters","straftaten","hamburg","frau","wegen","stadt","staatsanwaltschaft","aan"
