"","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10","Topic11","Topic12"
"2001-07-01",0.195530726256983,0,0.0223463687150838,0,0.167597765363128,0,0.00558659217877095,0,0,0.134078212290503,0.474860335195531,0
"2012-12-01",0,0,0,0,0.325842696629214,0,0.623595505617977,0,0,0.0112359550561798,0,0.0393258426966292
"2017-04-01",0.00309119010819165,0.0911901081916538,0.0123647604327666,0.0942812982998454,0,0.0401854714064915,0.364760432766615,0.137557959814529,0.035548686244204,0,0.0432766615146832,0.17774343122102
"2017-05-01",0.0033003300330033,0.0055005500550055,0.0836083608360836,0.0462046204620462,0.0209020902090209,0.0011001100110011,0.055005500550055,0,0.0044004400440044,0.0341034103410341,0.514851485148515,0.231023102310231
"2017-06-01",0,0.201550387596899,0,0.310077519379845,0,0,0,0,0,0.108527131782946,0.0852713178294574,0.294573643410853
"2017-07-01",0,0,0,0.344086021505376,0,0,0.139784946236559,0.021505376344086,0,0,0.494623655913978,0
"2017-08-01",0,0,0.0865671641791045,0.226865671641791,0,0,0.00895522388059702,0,0.00597014925373134,0.0985074626865672,0.459701492537313,0.113432835820896
"2017-09-01",0.00483091787439614,0.00241545893719807,0.118357487922705,0.0893719806763285,0.111111111111111,0,0.495169082125604,0,0,0.0120772946859903,0.1256038647343,0.0410628019323672
"2017-11-01",0.0643939393939394,0,0.00378787878787879,0.507575757575758,0.412878787878788,0,0,0.0113636363636364,0,0,0,0
"2018-01-01",0,0,0.319148936170213,0.680851063829787,0,0,0,0,0,0,0,0
"2018-02-01",0.00619067271976888,0.00371440363186133,0.0231118448204705,0.133305819232357,0.0503508047874536,0.0181593066446554,0.19026000825423,0.0264135369376806,0.223689640940982,0.0123813454395378,0.241848947585638,0.0705736690053653
"2018-03-01",0.0082843399251737,0.0411544628540887,0.06574024585783,0.384553714591128,0.0360769641902726,0.00962052378407269,0.128273650454303,0.000534473543559594,0.0467664350614645,0.0152324959914484,0.195082843399252,0.0686798503474078
"2018-04-01",0.0180213313718279,0.0023905847738139,0.041191614564178,0.379919087899963,0.0358587716072085,0.00919455682236116,0.0702464141228393,0.00165502022802501,0.0542478852519309,0.0612357484369253,0.259470393527032,0.0665685913938948
"2018-05-01",0.0223936770794129,0.0248400451637185,0.0686864885208882,0.26025592773805,0.055325555137373,0.00282273240496801,0.199661272111404,0.0180654873917953,0.0378246142265713,0.0353782461422657,0.218479488144524,0.056266465939029
